EQPT_ID,OPERATING_MODE,CHAMBER_KEY,THP_FACTOR
EQ_WAFER_116,REC_WAFER_607,010000000000000000,50
EQ_WAFER_116,REC_WAFER_589,110000000000000000,100
EQ_WAFER_116,REC_WAFER_589,100000000000000000,50
EQ_WAFER_116,REC_WAFER_589,010000000000000000,50
EQ_WAFER_116,*,111000000000000000,100
EQ_WAFER_116,*,110000000000000000,67
EQ_WAFER_116,*,101000000000000000,67
EQ_WAFER_116,*,011000000000000000,67
EQ_WAFER_116,*,100000000000000000,33
EQ_WAFER_116,*,010000000000000000,33
EQ_WAFER_116,*,001000000000000000,33
EQ_WAFER_115,REC_WAFER_607,111000000000000000,100
EQ_WAFER_115,REC_WAFER_607,110000000000000000,67
EQ_WAFER_115,REC_WAFER_607,101000000000000000,67
EQ_WAFER_115,REC_WAFER_607,011000000000000000,67
EQ_WAFER_115,REC_WAFER_607,100000000000000000,33
EQ_WAFER_115,REC_WAFER_607,010000000000000000,33
EQ_WAFER_115,REC_WAFER_607,001000000000000000,33
EQ_WAFER_115,REC_WAFER_595,111000000000000000,100
EQ_WAFER_115,REC_WAFER_595,110000000000000000,67
EQ_WAFER_115,REC_WAFER_595,101000000000000000,67
EQ_WAFER_115,REC_WAFER_595,011000000000000000,67
EQ_WAFER_115,REC_WAFER_595,100000000000000000,33
EQ_WAFER_115,REC_WAFER_595,010000000000000000,33
EQ_WAFER_115,REC_WAFER_595,001000000000000000,33
EQ_WAFER_115,REC_WAFER_589,111000000000000000,100
EQ_WAFER_115,REC_WAFER_589,110000000000000000,67
EQ_WAFER_115,REC_WAFER_589,101000000000000000,67
EQ_WAFER_115,REC_WAFER_589,011000000000000000,67
EQ_WAFER_115,REC_WAFER_589,100000000000000000,33
EQ_WAFER_115,REC_WAFER_589,010000000000000000,33
EQ_WAFER_115,REC_WAFER_589,001000000000000000,33
EQ_WAFER_115,*,111000000000000000,100
EQ_WAFER_115,*,110000000000000000,67
EQ_WAFER_115,*,101000000000000000,67
EQ_WAFER_115,*,011000000000000000,67
EQ_WAFER_115,*,100000000000000000,33
EQ_WAFER_115,*,010000000000000000,33
EQ_WAFER_115,*,001000000000000000,33
EQ_WAFER_114,REC_WAFER_613,111000000000000000,100
EQ_WAFER_114,REC_WAFER_613,110000000000000000,67
EQ_WAFER_114,REC_WAFER_613,101000000000000000,67
EQ_WAFER_114,REC_WAFER_613,011000000000000000,67
EQ_WAFER_114,REC_WAFER_613,100000000000000000,33
EQ_WAFER_114,REC_WAFER_613,010000000000000000,33
EQ_WAFER_114,REC_WAFER_613,001000000000000000,33
EQ_WAFER_114,REC_WAFER_607,111000000000000000,100
EQ_WAFER_114,REC_WAFER_607,110000000000000000,67
EQ_WAFER_114,REC_WAFER_607,101000000000000000,67
EQ_WAFER_114,REC_WAFER_607,011000000000000000,67
EQ_WAFER_114,REC_WAFER_607,100000000000000000,33
EQ_WAFER_114,REC_WAFER_607,010000000000000000,33
EQ_WAFER_114,REC_WAFER_607,001000000000000000,33
EQ_WAFER_114,REC_WAFER_601,111000000000000000,100
EQ_WAFER_114,REC_WAFER_601,110000000000000000,67
EQ_WAFER_114,REC_WAFER_601,101000000000000000,67
EQ_WAFER_114,REC_WAFER_601,011000000000000000,67
EQ_WAFER_114,REC_WAFER_601,100000000000000000,33
EQ_WAFER_114,REC_WAFER_601,010000000000000000,33
EQ_WAFER_114,REC_WAFER_601,001000000000000000,33
EQ_WAFER_114,REC_WAFER_595,111000000000000000,100
EQ_WAFER_114,REC_WAFER_595,110000000000000000,67
EQ_WAFER_114,REC_WAFER_595,101000000000000000,67
EQ_WAFER_114,REC_WAFER_595,011000000000000000,67
EQ_WAFER_114,REC_WAFER_595,100000000000000000,33
EQ_WAFER_114,REC_WAFER_595,010000000000000000,33
EQ_WAFER_114,REC_WAFER_595,001000000000000000,33
EQ_WAFER_114,REC_WAFER_589,111000000000000000,100
EQ_WAFER_114,REC_WAFER_589,110000000000000000,67
EQ_WAFER_114,REC_WAFER_589,101000000000000000,67
EQ_WAFER_114,REC_WAFER_589,011000000000000000,67
EQ_WAFER_114,REC_WAFER_589,100000000000000000,33
EQ_WAFER_114,REC_WAFER_589,010000000000000000,33
EQ_WAFER_114,REC_WAFER_589,001000000000000000,33
EQ_WAFER_114,*,111000000000000000,100
EQ_WAFER_114,*,110000000000000000,67
EQ_WAFER_114,*,101000000000000000,67
EQ_WAFER_114,*,011000000000000000,67
EQ_WAFER_114,*,100000000000000000,33
EQ_WAFER_114,*,010000000000000000,33
EQ_WAFER_114,*,001000000000000000,33
EQ_WAFER_113,REC_WAFER_613,111000000000000000,100
EQ_WAFER_113,REC_WAFER_613,110000000000000000,67
EQ_WAFER_113,REC_WAFER_613,101000000000000000,67
EQ_WAFER_113,REC_WAFER_613,011000000000000000,67
EQ_WAFER_113,REC_WAFER_613,100000000000000000,33
EQ_WAFER_113,REC_WAFER_613,010000000000000000,33
EQ_WAFER_113,REC_WAFER_613,001000000000000000,33
EQ_WAFER_113,REC_WAFER_601,111000000000000000,100
EQ_WAFER_113,REC_WAFER_601,110000000000000000,67
EQ_WAFER_113,REC_WAFER_601,101000000000000000,67
EQ_WAFER_113,REC_WAFER_601,011000000000000000,67
EQ_WAFER_113,REC_WAFER_601,100000000000000000,33
EQ_WAFER_113,REC_WAFER_601,010000000000000000,33
EQ_WAFER_113,REC_WAFER_601,001000000000000000,33
EQ_WAFER_113,REC_WAFER_595,111000000000000000,100
EQ_WAFER_113,REC_WAFER_595,110000000000000000,67
EQ_WAFER_113,REC_WAFER_595,101000000000000000,67
EQ_WAFER_113,REC_WAFER_595,011000000000000000,67
EQ_WAFER_113,REC_WAFER_595,100000000000000000,33
EQ_WAFER_113,REC_WAFER_595,010000000000000000,33
EQ_WAFER_113,REC_WAFER_595,001000000000000000,33
EQ_WAFER_113,REC_WAFER_589,111000000000000000,100
EQ_WAFER_113,REC_WAFER_589,110000000000000000,67
EQ_WAFER_113,REC_WAFER_589,101000000000000000,67
EQ_WAFER_113,REC_WAFER_589,011000000000000000,67
EQ_WAFER_113,REC_WAFER_589,100000000000000000,33
EQ_WAFER_113,REC_WAFER_589,010000000000000000,33
EQ_WAFER_113,REC_WAFER_589,001000000000000000,33
EQ_WAFER_113,*,111000000000000000,100
EQ_WAFER_113,*,110000000000000000,67
EQ_WAFER_113,*,101000000000000000,67
EQ_WAFER_113,*,011000000000000000,67
EQ_WAFER_113,*,100000000000000000,33
EQ_WAFER_113,*,010000000000000000,33
EQ_WAFER_113,*,001000000000000000,33
EQ_WAFER_618,*,111100000000000000,100
EQ_WAFER_618,*,110100000000000000,67
EQ_WAFER_618,*,101100000000000000,67
EQ_WAFER_618,*,011100000000000000,67
EQ_WAFER_618,*,100100000000000000,33
EQ_WAFER_618,*,010100000000000000,33
EQ_WAFER_618,*,001100000000000000,33
EQ_WAFER_617,*,111111000000000000,100
EQ_WAFER_617,*,111101000000000000,80
EQ_WAFER_617,*,111011000000000000,80
EQ_WAFER_617,*,110111000000000000,80
EQ_WAFER_617,*,101111000000000000,80
EQ_WAFER_617,*,011111000000000000,80
