FAB,EQPT_ID,EQPT_GROUP_NAME,RECIPE,PRODUCT,FULL_RAW_PROCESS_TIME_IN_MINS,HALF_RAW_PROCESS_TIME_IN_MINS,FULL_INTERVAL_IN_MINS,HALF_INTERVAL_IN_MINS,FULL_RAW_PROCESS_TIME_DIST,HALF_RAW_PROCESS_TIME_DIST,STAGE
SIMTECH,EQ_WAFER_107,,REC_WAFER_460,*,129,,54.17,,,,*
SIMTECH,EQ_WAFER_107,,REC_WAFER_530,*,115,,25.33,,,,*
SIMTECH,EQ_WAFER_107,,*,*,104.28,,45.31,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_285,*,87,,35.58,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_417,*,120,,55.33,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_427,*,75,,31,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_436,*,85,,72.67,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_444,*,129,,54.17,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_460,*,129,,54.17,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_468,*,93,,62.63,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_476,*,80,,55.5,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_502,*,53,,30.33,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_509,*,80,,35.75,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_516,*,161,,28.58,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_523,*,149,,129.25,,,,*
SIMTECH,EQ_WAFER_108,,REC_WAFER_530,*,115,,25.33,,,,*
SIMTECH,EQ_WAFER_108,,*,*,109.55,,47.07,,,,*
SIMTECH,EQ_WAFER_109,,REC_WAFER_285,*,87,,35.58,,,,*
SIMTECH,EQ_WAFER_109,,REC_WAFER_315,*,86,,33,,,,*
SIMTECH,EQ_WAFER_109,,REC_WAFER_337,*,111,,49,,,,*
SIMTECH,EQ_WAFER_109,,REC_WAFER_377,*,85,,35.42,,,,*
SIMTECH,EQ_WAFER_109,,REC_WAFER_397,*,115,,79.25,,,,*
SIMTECH,EQ_WAFER_109,,REC_WAFER_516,*,49,,28.58,,,,*
SIMTECH,EQ_WAFER_109,,REC_WAFER_530,*,115,,25.33,,,,*
SIMTECH,EQ_WAFER_109,,*,*,89.56,,38.27,,,,*
SIMTECH,EQ_WAFER_110,,REC_WAFER_315,*,86,,33,,,,*
SIMTECH,EQ_WAFER_110,,REC_WAFER_377,*,85,,35.42,,,,*
SIMTECH,EQ_WAFER_110,,REC_WAFER_444,*,129,,54.17,,,,*
SIMTECH,EQ_WAFER_110,,REC_WAFER_452,*,76,,40.17,,,,*
SIMTECH,EQ_WAFER_110,,REC_WAFER_460,*,129,,54.17,,,,*
SIMTECH,EQ_WAFER_110,,REC_WAFER_516,*,161,,28.58,,,,*
SIMTECH,EQ_WAFER_110,,REC_WAFER_523,*,149,,43.08,,,,*
SIMTECH,EQ_WAFER_110,,*,*,115.42,,47.09,,,,*
SIMTECH,EQ_WAFER_111,,REC_WAFER_285,*,87,,35.58,,,,*
SIMTECH,EQ_WAFER_111,,REC_WAFER_315,*,86,,33,,,,*
SIMTECH,EQ_WAFER_111,,REC_WAFER_337,*,111,,49,,,,*
SIMTECH,EQ_WAFER_111,,REC_WAFER_377,*,85,,35.42,,,,*
SIMTECH,EQ_WAFER_111,,REC_WAFER_397,*,115,,52.83,,,,*
SIMTECH,EQ_WAFER_111,,REC_WAFER_444,*,172,,172,,,,*
SIMTECH,EQ_WAFER_111,,REC_WAFER_452,*,92.75,,92.75,,,,*
SIMTECH,EQ_WAFER_111,,REC_WAFER_460,*,172,,172,,,,*
SIMTECH,EQ_WAFER_111,,REC_WAFER_516,*,157,,117.75,,,,*
SIMTECH,EQ_WAFER_111,,*,*,119.79,,80.44,,,,*
SIMTECH,EQ_WAFER_112,,REC_WAFER_285,*,87,,35.58,,,,*
SIMTECH,EQ_WAFER_112,,REC_WAFER_315,*,86,,33,,,,*
SIMTECH,EQ_WAFER_112,,REC_WAFER_337,*,111,,49,,,,*
SIMTECH,EQ_WAFER_112,,REC_WAFER_377,*,85,,35.42,,,,*
SIMTECH,EQ_WAFER_112,,REC_WAFER_397,*,115,,52.83,,,,*
SIMTECH,EQ_WAFER_112,,REC_WAFER_444,*,129,,59.59,,,,*
SIMTECH,EQ_WAFER_112,,*,*,107.94,,43.39,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_433,*,103,,4,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_441,*,103,,4.13,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_449,*,87,,3.98,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_457,*,87,,4.13,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_465,*,103,,4.58,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_473,*,111,,4.33,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_481,*,108,,4.53,,,,*
SIMTECH,EQ_WAFER_373,,REC_WAFER_507,*,102,,4.65,,,,*
