EQPT_ID,CHAMBER,START_TIME,SCHEDULED_START,LATEST_START,DURATION_IN_MINS,OP_GROUP,OP_DOWN_FRACTION,OP_DOWN_QTY,DOWN_TYPE,REMARK
EQ_WAFER_61,2,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_61,2,18/9/2020 23:39:14,,,12480,,,,NST,
EQ_WAFER_61,3,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_61,3,18/9/2020 23:39:14,,,12480,,,,NST,
EQ_WAFER_61,E,18/9/2020 23:39:14,,,28.8,,,,NST,
EQ_WAFER_62,3,18/9/2020 23:39:14,,,39,,,,NST,
EQ_WAFER_63,4,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_63,4,18/9/2020 23:39:14,,,12480,,,,NST,
EQ_WAFER_64,1,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_64,1,18/9/2020 23:39:14,,,12480,,,,NST,
EQ_WAFER_64,F,18/9/2020 23:39:14,,,58.2,,,,NST,
EQ_WAFER_65,2,18/9/2020 23:39:14,,,37.8,,,,ENG,
EQ_WAFER_65,C,18/9/2020 23:39:14,,,37.8,,,,NST,
EQ_WAFER_65,D,18/9/2020 23:39:14,,,37.8,,,,ENG,
EQ_WAFER_66,1,18/9/2020 23:39:14,,,37.2,,,,ENG,
EQ_WAFER_66,3,18/9/2020 23:39:14,,,37.2,,,,ENG,
EQ_WAFER_66,C,18/9/2020 23:39:14,,,37.2,,,,NST,
EQ_WAFER_67,2,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_67,2,18/9/2020 23:39:14,,,12480,,,,NST,
EQ_WAFER_67,4,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_67,4,18/9/2020 23:39:14,,,12480,,,,ENG,
EQ_WAFER_67,C,18/9/2020 23:39:14,,,53.4,,,,NST,
EQ_WAFER_68,1,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_68,1,18/9/2020 23:39:14,,,12480,,,,NST,
EQ_WAFER_68,2,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_68,2,18/9/2020 23:39:14,,,12480,,,,ENG,
EQ_WAFER_68,3,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_68,3,18/9/2020 23:39:14,,,12480,,,,NST,
EQ_WAFER_68,C,18/9/2020 23:39:14,,,155.4,,,,NST,
EQ_WAFER_68,,18/9/2020 23:39:14,,,155.4,,,,SD,
EQ_WAFER_601,A,18/9/2020 23:39:14,,,87,,,,SD,
EQ_WAFER_601,B,18/9/2020 23:39:14,,,87,,,,SD,
EQ_WAFER_603,S,18/9/2020 23:39:14,,,37.2,,,,UD,
EQ_WAFER_604,A,18/9/2020 23:39:14,,,144,,,,SD,
EQ_WAFER_604,S,18/9/2020 23:39:14,,,144,,,,SD,
EQ_WAFER_605,S,18/9/2020 23:39:14,,,72,,,,SD,
EQ_WAFER_606,D,18/9/2020 23:39:14,,,62.4,,,,SD,
EQ_WAFER_607,S,18/9/2020 23:39:14,,,43.8,,,,SD,
EQ_WAFER_608,C,18/9/2020 23:39:14,,,66,,,,SD,
EQ_WAFER_609,S,18/9/2020 23:39:14,,,31.2,,,,NST,
EQ_WAFER_609,,18/9/2020 23:39:14,,,31.2,,,,SD,
EQ_WAFER_610,B,18/9/2020 23:39:14,,,56.4,,,,SD,
EQ_WAFER_610,S,18/9/2020 23:39:14,,,56.4,,,,ENG,
EQ_WAFER_615,B,18/9/2020 23:39:14,,,88.8,,,,SD,
EQ_WAFER_615,D,18/9/2020 23:39:14,,,88.8,,,,SD,
EQ_WAFER_617,D,18/9/2020 23:39:14,,,43.2,,,,SD,
EQ_WAFER_561,,18/9/2020 23:39:14,,,55.8,,,,SD,
EQ_WAFER_402,,18/9/2020 23:39:14,,,172.8,,,,SD,
EQ_WAFER_347,,18/9/2020 23:39:14,,,31.8,,,,SD,
EQ_WAFER_457,,18/9/2020 23:39:14,,,314.4,,,,SD,
EQ_WAFER_463,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_122,,18/9/2020 23:39:14,,,37.8,,,,SD,
EQ_WAFER_113,,18/9/2020 23:39:14,,,63.6,,,,SD,
EQ_WAFER_116,A,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_116,A,18/9/2020 23:39:14,,,12480,,,,UD,
EQ_WAFER_116,B,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_116,B,18/9/2020 23:39:14,,,12480,,,,UD,
EQ_WAFER_116,C,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_116,C,18/9/2020 23:39:14,,,12480,,,,NST,
EQ_WAFER_8,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_8,,18/9/2020 23:39:14,,,12480,,,,SD,
EQ_WAFER_10,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_16,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_20,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_21,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_22,,18/9/2020 23:39:14,,,5909218.767,,,,NST,
EQ_WAFER_369,B,18/9/2020 23:39:14,,,101.4,,,,SD,
EQ_WAFER_372,A,18/9/2020 23:39:14,,,531,,,,NST,
EQ_WAFER_372,,18/9/2020 23:39:14,,,531,,,,SD,
EQ_WAFER_270,A,18/9/2020 23:39:14,,,103.8,,,,ENG,
EQ_LOT_111,,18/9/2020 23:39:14,,,180,,,,SD,
EQ_BATCH_359,,18/9/2020 23:39:14,,,512.4,,,,SD,
EQ_BATCH_329,,18/9/2020 23:39:14,,,99,,,,SD,
EQ_BATCH_299,,18/9/2020 23:39:14,,,147,,,,SD,
EQ_WAFER_420,,18/9/2020 23:39:14,,,119.4,,,,SD,
EQ_WAFER_421,,18/9/2020 23:39:14,,,144,,,,SD,
EQ_WAFER_422,,18/9/2020 23:39:14,,,129,,,,SD,
EQ_WAFER_424,,18/9/2020 23:39:14,,,127.8,,,,SD,
EQ_WAFER_432,,18/9/2020 23:39:14,,,103.8,,,,SD,
EQ_WAFER_441,3,18/9/2020 23:39:14,,,142.2,,,,NST,
EQ_WAFER_441,,18/9/2020 23:39:14,,,142.2,,,,SD,
EQ_WAFER_405,3,18/9/2020 23:39:14,,,202.8,,,,NST,
EQ_WAFER_405,2,18/9/2020 23:39:14,,,202.8,,,,NST,
EQ_WAFER_405,3,18/9/2020 23:39:14,,,202.8,,,,NST,
EQ_WAFER_405,4,18/9/2020 23:39:14,,,202.8,,,,NST,
EQ_WAFER_442,4,18/9/2020 23:39:14,,,121.8,,,,NST,
EQ_WAFER_442,,18/9/2020 23:39:14,,,121.8,,,,SD,
EQ_WAFER_443,3,18/9/2020 23:39:14,,,124.8,,,,NST,
EQ_WAFER_443,2,18/9/2020 23:39:14,,,124.8,,,,NST,
EQ_WAFER_443,4,18/9/2020 23:39:14,,,124.8,,,,NST,
EQ_WAFER_443,,18/9/2020 23:39:14,,,124.8,,,,SD,
EQ_WAFER_444,3,18/9/2020 23:39:14,,,136.8,,,,NST,
EQ_WAFER_444,4,18/9/2020 23:39:14,,,136.8,,,,NST,
EQ_LOT_141,1,18/9/2020 23:39:14,,,533.4,,,,NST,
EQ_LOT_141,3,18/9/2020 23:39:14,,,533.4,,,,ENG,
EQ_WAFER_408,,18/9/2020 23:39:14,,,246.6,,,,SD,
EQ_WAFER_409,,18/9/2020 23:39:14,,,226.2,,,,SD,
EQ_BATCH_382,,18/9/2020 23:39:14,,,60.6,,,,SD,
EQ_BATCH_383,,18/9/2020 23:39:14,,,180,,,,SD,
