EQPT_ID,POLICY,RANK
EQ_WAFER_640,PrioritizeLongWait,10
EQ_WAFER_640,PrioritizeStepDue,12
EQ_WAFER_640,PrioritizeSameSetup,17
EQ_WAFER_641,PrioritizeQueueTimeConstraint,1
EQ_WAFER_641,PrioritizeRocketLot,5
EQ_WAFER_641,PrioritizeHotLot,6
EQ_WAFER_641,PrioritizeRework,9
EQ_WAFER_641,PrioritizeLongWait,10
EQ_WAFER_641,PrioritizeStepDue,12
EQ_BATCH_4,PrioritizeQueueTimeConstraint,1
EQ_BATCH_4,PrioritizeRocketLot,5
EQ_BATCH_4,PrioritizeHotLot,6
EQ_BATCH_4,PrioritizeRework,9
EQ_BATCH_4,PrioritizeLongWait,10
EQ_BATCH_5,PrioritizeQueueTimeConstraint,1
EQ_BATCH_5,PrioritizeRocketLot,5
EQ_BATCH_5,PrioritizeHotLot,6
EQ_BATCH_5,PrioritizeRework,9
EQ_BATCH_5,PrioritizeLongWait,10
EQ_BATCH_5,PrioritizeStepDue,12
EQ_BATCH_126,PrioritizeQueueTimeConstraint,1
EQ_BATCH_126,PrioritizeRocketLot,5
EQ_BATCH_126,PrioritizeHotLot,6
EQ_BATCH_126,PrioritizeRework,9
EQ_BATCH_126,PrioritizeLongWait,10
EQ_BATCH_126,PrioritizeStepDue,12
EQ_WAFER_636,PrioritizeQueueTimeConstraint,1
EQ_WAFER_636,PrioritizeRocketLot,5
EQ_WAFER_636,PrioritizeHotLot,6
EQ_WAFER_636,PrioritizeRework,9
EQ_WAFER_636,PrioritizeLongWait,10
EQ_WAFER_636,PrioritizeStepDue,12
EQ_WAFER_637,PrioritizeQueueTimeConstraint,1
EQ_WAFER_637,PrioritizeRocketLot,5
EQ_WAFER_637,PrioritizeHotLot,6
EQ_WAFER_637,PrioritizeRework,9
EQ_WAFER_637,PrioritizeLongWait,10
EQ_WAFER_637,PrioritizeStepDue,12
EQ_WAFER_398,PrioritizeQueueTimeConstraint,1
EQ_WAFER_398,PrioritizeRocketLot,5
EQ_WAFER_398,PrioritizeHotLot,6
EQ_WAFER_398,PrioritizeRework,9
EQ_WAFER_398,PrioritizeLongWait,10
EQ_WAFER_398,PrioritizeStepDue,12
EQ_WAFER_399,PrioritizeQueueTimeConstraint,1
EQ_WAFER_399,PrioritizeRocketLot,5
EQ_WAFER_399,PrioritizeHotLot,6
EQ_WAFER_399,PrioritizeRework,9
EQ_WAFER_399,PrioritizeLongWait,10
EQ_WAFER_399,PrioritizeStepDue,12
EQ_WAFER_350,PrioritizeQueueTimeConstraint,1
EQ_WAFER_350,PrioritizeRocketLot,5
EQ_WAFER_350,PrioritizeHotLot,6
EQ_WAFER_350,PrioritizeRework,9
EQ_WAFER_350,PrioritizeLongWait,10
EQ_WAFER_350,PrioritizeStepDue,12
EQ_WAFER_344,PrioritizeQueueTimeConstraint,1
EQ_WAFER_344,PrioritizeRocketLot,5
EQ_WAFER_344,PrioritizeHotLot,6
EQ_WAFER_344,PrioritizeRework,9
EQ_WAFER_344,PrioritizeLongWait,10
EQ_WAFER_344,PrioritizeStepDue,12
EQ_WAFER_417,PrioritizeQueueTimeConstraint,1
EQ_WAFER_417,PrioritizeRocketLot,5
EQ_WAFER_417,PrioritizeHotLot,6
EQ_WAFER_417,PrioritizeRework,9
EQ_WAFER_417,PrioritizeLongWait,10
EQ_WAFER_417,PrioritizeStepDue,12
EQ_WAFER_418,PrioritizeQueueTimeConstraint,1
EQ_WAFER_418,PrioritizeRocketLot,5
EQ_WAFER_418,PrioritizeHotLot,6
EQ_WAFER_418,PrioritizeRework,9
EQ_WAFER_418,PrioritizeLongWait,10
EQ_WAFER_418,PrioritizeStepDue,12
EQ_WAFER_433,PrioritizeQueueTimeConstraint,1
EQ_WAFER_433,PrioritizeRocketLot,5
EQ_WAFER_433,PrioritizeHotLot,6
EQ_WAFER_433,PrioritizeRework,9
EQ_WAFER_433,PrioritizeLongWait,10
EQ_WAFER_433,PrioritizeStepDue,12
EQ_WAFER_434,PrioritizeQueueTimeConstraint,1
EQ_WAFER_434,PrioritizeRocketLot,5
EQ_WAFER_434,PrioritizeHotLot,6
EQ_WAFER_434,PrioritizeRework,9
EQ_WAFER_434,PrioritizeLongWait,10
EQ_WAFER_434,PrioritizeStepDue,12
EQ_BATCH_374,PrioritizeQueueTimeConstraint,1
EQ_BATCH_374,PrioritizeRocketLot,5
EQ_BATCH_374,PrioritizeHotLot,6
EQ_BATCH_374,PrioritizeRework,9
EQ_BATCH_374,PrioritizeLongWait,10
EQ_BATCH_374,PrioritizeStepDue,12
EQ_BATCH_375,PrioritizeQueueTimeConstraint,1
EQ_BATCH_375,PrioritizeRocketLot,5
EQ_BATCH_375,PrioritizeHotLot,6
EQ_BATCH_375,PrioritizeRework,9
EQ_BATCH_375,PrioritizeLongWait,10
EQ_BATCH_375,PrioritizeStepDue,12
EQ_BATCH_355,PrioritizeQueueTimeConstraint,1
EQ_BATCH_355,PrioritizeRocketLot,5
EQ_BATCH_355,PrioritizeHotLot,6
EQ_BATCH_355,PrioritizeRework,9
EQ_BATCH_355,PrioritizeLongWait,10
EQ_BATCH_356,PrioritizeQueueTimeConstraint,1
EQ_BATCH_356,PrioritizeRocketLot,5
EQ_BATCH_356,PrioritizeHotLot,6
EQ_BATCH_356,PrioritizeRework,9
EQ_BATCH_356,PrioritizeLongWait,10
EQ_BATCH_356,PrioritizeStepDue,12
EQ_WAFER_258,PrioritizeQueueTimeConstraint,1
